source_file,source_status,metric_mapping
artifacts/public_benchmarks_20260623_200/public_editing_comparison.json,present,num_cases->n_cases; reliability_rewrite_success->reliability; generalization_rephrase_success->generalization; locality_retain_success->locality; elapsed_sec->runtime_sec; failure_error->failure_reason
current_task_spec:2026-06-23 GPT review,provided,synthetic canonical rows and public_refusal conflict guidance
artifacts/final_comparison_20260623_urgent/method_claim_metrics.csv,present,"used for metric audit conflicts, not canonical public_refusal"
artifacts/paper_assets_20260623/tables_tex/table_public_qwen_topconf.tex,present,publication-ready successful Qwen public rows only
artifacts/public_benchmarks_20260623_200/GPTJ_STOP_REASON.md,present,GPT-J stop reason; no metrics
artifacts/gptj_fast_patch_20260623/table_gptj_public_fast_patch.csv,optional,GPT-J fast patch ROME/FT metrics when summary.json exists
artifacts/analysis_v2_audit_20260622/ATTACK_TYPE_ANALYSIS.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/CAPE_V0_FAILURE_DIAGNOSIS.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/CAPE_V0_PLAN_20260622.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/METHOD_COMPARISON_REPORT.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/METHOD_PROVENANCE_AUDIT.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/METRIC_COUNT_AUDIT.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/METRIC_DEFINITION_AUDIT.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/OVER_REFUSAL_ANALYSIS.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/QUALITATIVE_CASES.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/TODAY_GROUP_MEETING_REPORT_20260622.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/TRADEOFF_ANALYSIS.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/attack_type_breakdown.csv,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/cape_public_failure_cases.md,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/cape_selected_request_breakdown.csv,present,scanned_candidate
artifacts/analysis_v2_audit_20260622/cape_vs_pace_request_distribution.csv,present,scanned_candidate
